1328 744
584701378 623228586 289220
164312657 745130628 531742
561283673 833564020 861701
318933020 405798950 687168
862441817 961088938 593919
95794108 484754893 442059
621626556 624834645 73807
348932539 819721787 395766
964294334 990523340 811588
906106421 995514005 710026
116945668 399638998 884258
963553937 983004686 907457
845473256 883132773 137680
910119648 933204929 535513
84653123 113274253 273370
371326217 954844211 647027
726758116 793387304 466625
881655414 907504871 562213
657637365 712207640 885623
451069680 819073968 345254
993401652 997333806 311448
658629031 893417706 132652
143836464 818073107 877527
131410365 705368104 730911
768604021 799908495 725841
199496348 751166591 329508
171824910 479038927 700728
144904469 445884210 855802
938947968 951438980 581428
350049969 707907705 898332
737710575 950154475 809836
324359933 944553805 524880
262747906 476923237 740975
929312598 945050582 27198
890614970 976021953 476731
538126970 830768746 693335
902116770 985988771 512974
146669566 163358824 879555
392739833 753916758 608557
811755633 995782888 599887
356750872 671807589 715439
608089962 640413292 383730
49294383 338598314 449709
300390058 687150963 948790
407804858 770513201 341451
435370284 941521838 398884
113313868 147790589 100300
579626622 913436886 978358
748970217 789696680 220922
498418979 927320127 157213
51774144 338972092 164404
639813753 839984517 176147
933172977 970682233 979915
745384073 756047643 622322
695395607 747978577 443476
90030109 816832765 445665
983681472 986321138 658420
982420024 993978533 485826
669466316 768637974 691486
264779299 448145968 138281
967860569 998438734 514173
366369865 568509103 872663
647967835 765142035 823935
140778499 988463919 442035
693173913 839787810 98444
985947563 989798986 779987
754951984 987415176 44407
166251758 662885365 822495
982428394 990214257 761700
485126354 800799165 428775
225970362 259494762 83206
56298145 236926347 73305
148305897 209692685 527111
235626776 427977450 677050
147697423 995136950 301241
351314773 819544772 424128
480375610 616101991 323562
191069380 349751039 11427
542703477 598101174 97469
118698013 305184532 763270
954761505 978978323 838337
428767109 687655620 463531
959048624 996569933 107054
365837416 443131556 346769
621949774 933173112 961397
962844045 967593160 504619
662083391 912966096 264896
55713767 374986594 101271
527315234 619360408 90948
174933796 458122695 520735
735486678 981135772 700449
394340781 415303090 862230
983157895 983186617 688614
797950921 925564638 336514
417219235 766044074 597197
927300205 958468850 435727
19765381 552177646 136729
542299644 757938136 79741
286549228 534380304 146292
816394290 955792932 92228
390710914 634513118 462465
286338013 306067041 455150
407063259 928531137 593907
320467850 789051219 429210
798602112 895544226 545428
582771825 583512421 127227
265269223 587225971 198724
674590460 958913399 177698
71018086 905342281 474851
163454618 626003745 289745
384637314 816536516 349837
909512163 982272589 130529
371098841 614792455 155356
368842614 488540692 20838
855135313 968005030 97514
366411389 908658795 698117
722841717 907927364 18308
169821325 456825937 676751
783309846 795546125 855442
222173324 521780263 98439
288858795 854043133 966356
743819774 970719564 540034
35331653 241710489 484710
109967273 623122857 929334
109054136 751098123 662920
843003842 931074005 142525
542395130 839499908 208881
267406802 872661612 646508
780753933 834121148 1963
908951263 964370944 862231
945187772 956378529 480712
498081707 833172350 233946
711911339 717991517 984027
255927771 745155200 385488
409990744 849515619 668828
852285601 879868673 978048
430094926 852030685 696456
695084660 971980061 904942
21695142 697204092 328492
64707989 543475422 963444
460645914 703956699 190327
900537329 910075767 246957
6801266 647778459 65653
555146603 584001991 188838
50674698 427549370 4959
6151247 214350930 900612
394252863 476860199 596686
469594211 528795990 474259
945990275 957763044 348207
847446184 964969309 973898
341170480 660241143 509561
394711210 528082777 930036
95718361 643279465 217985
510870359 953375371 59583
559350539 635267586 28773
881077741 992907372 625963
273845445 410476206 560916
72202764 856808644 321218
429967629 591741355 663751
701793232 811751114 147447
492600682 593978250 723069
158764319 778715010 864035
40274313 191742211 136591
515188281 810924143 808133
92876586 461973651 957474
990834519 998264514 377591
960207623 968150036 674791
938048176 992414196 715407
379389550 624190028 99760
693077898 858314278 454821
484531812 757638901 359164
123613807 467748074 907448
24737304 822444164 167234
200646256 255539146 653470
776737503 832635477 237048
931126305 990014818 995039
277561473 881553251 480667
671219352 710881063 886502
31433220 152867749 976907
817642813 885733535 183108
168867750 974086662 869908
251239586 415423635 967472
619177021 889686460 704519
144379395 494285107 235646
413959651 883384997 536825
257434371 975108349 829397
834193344 857646884 904650
183340541 783761411 721488
893822059 980289123 897716
661120964 764862061 349333
475466422 578870963 50563
339298535 757157701 72367
343253123 672249264 394879
19314156 153484685 643915
681383629 701431498 221504
406683237 694100762 861266
776920843 971719739 839261
197356133 991303130 493461
165977080 947739419 799389
714480946 751959016 710257
114579384 749926927 966991
555363989 808130458 105160
295577974 431414452 679047
790603439 960280707 292322
484540579 859055142 808143
786414831 802932289 461091
282086513 648160143 838910
153858000 266379348 94038
406591096 826173982 488891
542282851 933952032 187496
33545016 649857874 795551
963369085 993440030 760615
413201269 693789288 67055
428795455 913771841 214775
842707421 989935618 284126
899295241 996218051 638794
687244651 948670077 629028
330906645 546532166 466926
612771001 933621132 127340
315250831 718264171 827067
276935460 321335335 889626
948369040 961956755 993968
663008222 721799081 844062
456160248 896124112 836976
318276201 863574532 550396
498390943 791754788 856060
285361413 495007942 88996
110177429 409690211 485502
283165858 744575126 954740
587295744 805236695 790540
658243048 952723045 981209
821837420 826169638 309151
12232816 423172368 552701
155534238 637556379 336380
929809594 962708770 902208
582278730 746565346 204511
474097629 703572873 343235
651460602 927466066 818625
804685216 849784274 68951
372972782 450077436 81192
225269937 503538703 487975
410373247 809052639 599868
971640681 983647199 563643
27525781 709068017 120306
903127347 978158223 577965
372012620 884612097 744155
740083316 801904060 961763
783685208 952183325 635787
636078927 986079985 170407
952729962 983169104 997118
403587966 801233660 792350
953739473 957759585 393443
761788451 861855970 522474
154875850 444107487 349841
515972321 828118492 878675
527507515 667534180 419694
661593978 790754922 193892
24348896 273318158 358239
916764609 969597004 691641
368815935 873543156 99059
509314220 728582274 380260
780596594 837577996 481516
106443779 347138441 944852
170731142 793082472 624180
553691604 772753897 44561
12028273 482254649 586617
644391691 834341258 231066
560376553 906221326 527028
780484263 980670922 474373
292569382 866613284 510868
778449242 892372399 597219
855334014 877315620 600556
935016311 949404106 321083
105153613 404326090 635463
682187122 685458639 48299
